-00299,000306,003970,000000,000000,000000,0.0000,-0.0000,-0.0000,-0.0000
-00277,000310,003932,-00001,-00003,-00001,0.0000,-0.0000,-0.0000,-0.0000
-00290,000304,003995,000001,-00002,-00002,0.0000,-0.0000,-0.0000,-0.0000
-00266,000304,003980,000001,000000,-00001,0.0000,-0.0000,-0.0000,-0.0000
-00271,000316,003971,000000,-00001,000000,0.0000,-0.0000,-0.0000,-0.0000
-00270,000313,003975,000000,000000,000000,0.0000,-0.0000,-0.0000,-0.0000
-00288,000318,003964,-00001,000001,000001,0.0000,-0.0000,-0.0000,-0.0000
-00277,000329,003990,000000,-00001,000001,0.0000,-0.0000,-0.0000,-0.0000
-00280,000320,003974,-00001,-00002,-00001,0.0000,-0.0000,-0.0000,-0.0000
-00291,000322,004002,000000,-00002,-00001,0.0000,-0.0000,-0.0000,-0.0000
-00293,000309,003977,-00001,-00002,-00001,0.0000,-0.0000,-0.0000,-0.0000
-00290,000307,004003,-00002,000001,000000,0.0000,-0.0000,-0.0000,-0.0000
-00290,000323,003966,000000,000002,000000,0.0000,-0.0000,-0.0000,-0.0000
-00305,000318,003982,000002,000002,000001,0.0000,-0.0000,-0.0000,-0.0000
-00312,000326,004009,-00002,-00003,-00002,0.0000,-0.0000,-0.0000,-0.0000
-00293,000336,003974,000002,-00001,000002,0.0000,-0.0000,-0.0000,-0.0000
-00286,000308,003973,000000,000001,000001,0.0000,-0.0000,-0.0000,-0.0000
-00266,000322,003946,000001,000000,000001,0.0000,-0.0000,-0.0000,-0.0000
-00247,000313,003998,000000,-00002,000001,0.0000,-0.0000,-0.0000,-0.0000
-00259,000301,003991,000000,-00001,000001,0.0000,-0.0000,-0.0000,-0.0000
-00255,000297,004002,-00004,000001,000000,0.0000,-0.0000,-0.0000,-0.0000
-00250,000315,003971,000003,000000,-00001,0.0000,-0.0000,-0.0000,-0.0000
-00271,000299,003966,-00001,000001,000000,0.0000,-0.0000,-0.0000,-0.0000
-00281,000318,003980,-00001,000000,-00003,0.0000,-0.0000,-0.0000,-0.0000
-00289,000314,003978,000002,-00002,-00001,0.0000,-0.0000,-0.0000,-0.0000
-00284,000314,003963,000000,000001,-00002,0.0000,-0.0000,-0.0000,-0.0000
-00295,000327,003983,000001,-00002,-00001,0.0000,-0.0000,-0.0000,-0.0000
-00274,000307,003998,000000,000000,000001,0.0000,-0.0000,-0.0000,-0.0000
-00297,000318,004022,000001,000000,000002,0.0000,-0.0000,-0.0000,-0.0000
-00279,000328,004015,000000,000001,-00002,0.0000,-0.0000,-0.0000,-0.0000
-00261,000322,003968,-00003,000001,000001,0.0000,-0.0000,-0.0000,-0.0000
-00268,000332,003972,-00001,000001,000003,0.0000,-0.0000,-0.0000,-0.0000
-00269,000309,004049,-00004,000001,-00001,0.0000,-0.0000,-0.0000,-0.0000
-00273,000316,003968,000003,-00001,000002,0.0000,-0.0000,-0.0000,-0.0000
-00262,000331,003976,000007,-00003,000002,0.0000,-0.0000,-0.0000,-0.0000
-00286,000331,003955,000000,000002,000000,0.0000,-0.0000,-0.0000,-0.0000
-00278,000321,004023,-00002,000003,000004,0.0000,-0.0000,-0.0000,-0.0000
-00291,000324,003994,-00002,000002,000002,0.0000,-0.0000,-0.0000,-0.0000
-00288,000309,004001,-00002,000002,000002,0.0000,-0.0000,-0.0000,-0.0000
